Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
117500,0.005347036,
117600,0.005345674,
117700,0.005344315,
117800,0.005342958,
117900,0.005341605,
118000,0.005340255,
118100,0.005338907,
118200,0.005337563,
118300,0.005336222,
118400,0.005334884,
118500,0.005333549,
118600,0.005332216,
118700,0.005330887,
118800,0.00532956,
118900,0.005328237,
119000,0.005326916,
119100,0.005325599,
119200,0.005324284,
119300,0.005322972,
119400,0.005321663,
119500,0.005320357,
119600,0.005319053,
119700,0.005317753,
119800,0.005316455,
119900,0.00531516,
-----,testing network, ----
Expected, Computed real, Is solved
0.464565,0.462342505,yes
0.225974,0.215486763,yes
0.12046,0.118347864,yes
0.183896,0.185369137,yes
0.082137,0.071584594,yes
0.478035,0.47711806,yes
0.869584,0.797495049, no
0.196212,0.205307158,yes
0.073998,0.07206141,yes
0.204899,0.206692078,yes
0.249749,0.254135179,yes
0.461517,0.458540742,yes
0.450251,0.451878194,yes
0.369075,0.370438837,yes
0.704661,0.696604508,yes
0.228005,0.22741423,yes
0.156466,0.152921223,yes
0.162567,0.154321186,yes
0.339018,0.333388169,yes
0.452464,0.456573537,yes
0.155333,0.156429693,yes
0.570774,0.571800536,yes
0.22998,0.22866457,yes
0.408506,0.408842879,yes
0.071556,0.074368691,yes
0.249497,0.249905624,yes
0.163546,0.167851789,yes
0.481297,0.475636584,yes
0.21689,0.21178124,yes
0.02784,0.040171631,yes
0.457675,0.459375581,yes
0.380137,0.377181259,yes
0.303373,0.303924145,yes
0.701904,0.689190664,yes
0.312368,0.311428486,yes
0.06223,0.055272635,yes
0.339919,0.332925583,yes
0.25043,0.253635475,yes
0.110198,0.116312241,yes
0.147515,0.146214135,yes
0.53733,0.536249216,yes
0.154411,0.157224017,yes
0.092367,0.087885174,yes
0.378741,0.377567429,yes
0.291982,0.289240389,yes
0.357018,0.353665761,yes
0.323332,0.318431771,yes
0.071355,0.068002641,yes
0.249838,0.250708822,yes
0.453151,0.451778149,yes
Accuracy percentage: ,98.00%,
